category,type,difficulty,question,correct_answer,incorrect_answers
"General Knowledge","multiple","easy","Which American-owned brewery led the country in sales by volume in 2015?","D. G. Yuengling and Son, Inc","Anheuser Busch|Boston Beer Company|Miller Coors"
"Entertainment: Video Games","multiple","hard","What is the real name of &quot;Warhead&quot; in the Sega Genesis game &quot;Vectorman&quot;?","Raster","Peacehead|Vectorkid|Bitmap"
"Entertainment: Video Games","multiple","medium","Which of these is NOT a name of a playable character in Apex Legends?","Viper","Revenant|Crypto|Wattson"
"Entertainment: Books","multiple","easy","Who wrote &quot;The Scarlet Letter&quot;, published in 1850?","Nathaniel Hawthorne","Washington Irving|James Fenimore Cooper|Catherine Maria Sedgwick"
"Entertainment: Cartoon &amp; Animations","multiple","medium","What year was the Disney film &quot;A Goofy Movie&quot; released?","1995","1999|2001|1997"
"Science: Mathematics","boolean","hard","The binary number &quot;101001101&quot; is equivalent to the Decimal number &quot;334&quot;","False","True"
"Geography","multiple","easy","What is Canada&#039;s smallest province?","Prince Edward Island","New Brunswick|Nova Scotia|Yukon"
"Entertainment: Film","multiple","medium","Leonardo Di Caprio won his first Best Actor Oscar for his performance in which film?","The Revenant","The Wolf Of Wall Street|Shutter Island|Inception"
"Entertainment: Video Games","multiple","hard","Which game in the &quot;Monster Hunter&quot; series introduced the &quot;Insect Glaive&quot; weapon?","Monster Hunter 4","Monster Hunter Freedom|Monster Hunter Stories|Monster Hunter 2"
"Entertainment: Video Games","multiple","medium","Who is the protagonist in Dead Rising 3?","Nick Ramos","Frank West|Chuck Greene|Isabela Keyes"
"Science &amp; Nature","multiple","easy","Which is the longest bone in the human body? ","Femur","Scapula|Fibula|Ulna"
"Entertainment: Cartoon &amp; Animations","multiple","easy","Who created the Cartoon Network series &quot;Regular Show&quot;?","J. G. Quintel","Ben Bocquelet|Pendleton Ward|Rebecca Sugar"
"General Knowledge","multiple","easy","Red Vines is a brand of what type of candy?","Licorice","Lollipop|Chocolate|Bubblegum"
"Science &amp; Nature","boolean","hard","The value of one Calorie is different than the value of one calorie.","True","False"
"Science: Computers","multiple","easy","What is the domain name for the country Tuvalu?",".tv",".tu|.tt|.tl"
"Entertainment: Video Games","multiple","easy","Who turns out to be the true victor in the Battle of Armageddon in Mortal Kombat?","Shao Kahn","Liu Kang|Shang Tsung|Raiden"
"Entertainment: Film","multiple","medium","Mark Wahlberg played the titular character of which 2008 video-game adaptation?","Max Payne","Alan Wake|Hitman|God Of War"
"Geography","multiple","medium","What is the name of the former country that was succeeded by countries such as Serbia, Croatia and Slovenia?","Yugoslavia","Czechoslovakia|Abkhazia|South Ossetia"
"Celebrities","multiple","hard","What was the religion of famous singer &quot;Freddie Mercury&quot;?","Zoroastrianism","Paganism|Ashurism|Judaism"
"Entertainment: Video Games","multiple","easy","Which game did NOT get financed via Crowdfunding?","Enter the Gungeon","Town of Salem|Undertale|Tower Unite"
"Entertainment: Music","multiple","easy","What was the subject of the 2014 song &quot;CoCo&quot; by American rapper O. T. Genasis?","Cocaine","Conan O&#039;Brien|Cobalt(II) carbonate|Coconut cream pie"
"General Knowledge","multiple","easy","Which one of these is not a typical European sword design?","Scimitar","Falchion|Ulfberht|Flamberge"
"Entertainment: Video Games","multiple","hard","What are the chances of being dealt a Royal Flush within Poker/Video Poker?","1 in 649,740","1 in 763,302|1 in 499,304|1 in 311,875,200"
"Entertainment: Video Games","multiple","medium","Marvel vs Capcom 2: New age of Heroes was released in what year?","2000","2001|2003|1998"
"Entertainment: Video Games","multiple","hard","In &quot;Super Mario Sunshine&quot;, how do you unlock the &quot;Corona Mountain&quot; level?","By clearing every 7th episode","By obtaining 70 Shines|By clearing every episode involving a &quot;Secret&quot;|By unlocking every nozzle F.L.U.D.D can use"
"Entertainment: Music","multiple","easy","Which of the following songs was not originally released by Sir Elton John? ","You&#039;ll Be In My Heart","Crocodile Rock|Candle in the Wind|I Don&#039;t Wanna Go On With You Like That"
"General Knowledge","multiple","easy","When someone is inexperienced they are said to be what color?","Green","Red|Blue|Yellow"
"Science &amp; Nature","multiple","easy","What is the &quot;powerhouse&quot; of the Eukaryotic animal cell?","Mitochondria","Nucleus|Chloroplast|Endoplasmic Reticulum"
"General Knowledge","multiple","easy","What country does sushi &amp; karaoke come from?","Japan","China|South Korea|Vietnam"
"Science: Mathematics","multiple","hard","How many Millibars (mbar) to 1 Inch of Mercury (inHg)","33.9","30.0|27.4|10.6"
"Entertainment: Japanese Anime &amp; Manga","multiple","easy","The two main characters of &quot;No Game No Life&quot;, Sora and Shiro, together go by what name?","Blank","Immanity|Disboard|Warbeasts"
"Science: Mathematics","multiple","easy","The metric prefix &quot;atto-&quot; makes a measurement how much smaller than the base unit?","One Quintillionth","One Billionth|One Quadrillionth|One Septillionth"
"Science &amp; Nature","multiple","medium","What mineral has the lowest number on the Mohs scale?","Talc","Quartz|Diamond|Gypsum"
"Science &amp; Nature","multiple","hard","In quantum physics, which of these theorised sub-atomic particles has yet to be observed?","Graviton","Z boson|Tau neutrino|Gluon"
"Geography","multiple","hard","Which of these countries is NOT a part of the Asian continent?","Suriname","Georgia|Russia|Singapore"
"Sports","multiple","medium","Who won the 2015 College Football Playoff (CFP) National Championship? ","Ohio State Buckeyes","Alabama Crimson Tide|Clemson Tigers|Wisconsin Badgers"
"General Knowledge","multiple","hard","Where is Apple Inc. headquartered?","Cupertino, California","Redwood City, California|Redmond, Washington|Santa Monica, CA"
"Entertainment: Books","multiple","easy","Who was the original author of Frankenstein?","Mary Shelley","Edgar Allan Poe|Bram Stoker|H. P. Lovecraft"
"Entertainment: Cartoon &amp; Animations","multiple","medium","What ability does Princess Sofia the First have from her amulet that allows her to breathe underwater?","Mermaid Transformation","Artificial Gills|Bubble Head|Bubble Shield"
"Science: Computers","boolean","easy","The Python programming language gets its name from the British comedy group &quot;Monty Python.&quot;","True","False"
"Art","multiple","easy","Who painted the Mona Lisa?","Leonardo da Vinci ","Pablo Picasso| Vincent van Gogh|Michelangelo"
"Entertainment: Video Games","multiple","easy","Which of the following games has the largest map size?","Just Cause 2","Grand Theft Auto 5|The Elder Scrolls 4:  Oblivion|The Witcher 3:  Wild Hunt"
"Entertainment: Music","multiple","hard","What is the official name of Prince&#039;s backing band?","The Revolution","The Paupers|The Wailers|The Heartbreakers"
"Science &amp; Nature","boolean","medium","&quot;Tachycardia&quot; or &quot;Tachyarrhythmia&quot; refers to a resting heart-rate near or over 100 BPM.","True","False"
"Entertainment: Music","multiple","medium","Which one of these people has been in the band &#039;&#039;Metallica&#039;&#039; in the past?","Dave Mustaine","Kurt Cobain|Joey Belladonna|Dave Lombardo"
"Entertainment: Japanese Anime &amp; Manga","boolean","easy","In Kill La Kill, the weapon of the main protagonist is a katana. ","False","True"
"Geography","multiple","medium","Which country has the abbreviation &quot;CH&quot;?","Switzerland","China|Canada|No Country"
"Entertainment: Video Games","multiple","easy","In the Video Game, Half-life, what type of US military force starts clearing out the Black Mesa Research Facility?","The HECU","Navy Seals|The Combine|The Marines"
"Science: Mathematics","boolean","medium","The Pythagorean theorem states that the square of the hypotenuse is equal to the product of the squares of the other two sides.","False","True"
"Science &amp; Nature","multiple","hard","Which of these is a stop codon in DNA?","TAA","ACT|ACA|GTA"
"Art","multiple","hard","How many paint and pastel versions of &quot;The Scream&quot; is Norwegian painter Edvard Munch believed to have produced?","4","1|3|2"
"History","multiple","easy","What country joined the EU in 2013?","Croatia","Bulgaria|Slovenia|Turkey"
"Science: Mathematics","boolean","hard","In Topology, the complement of an open set is a closed set.","True","False"
"Entertainment: Comics","multiple","hard","In what year did the first &quot;The Walking Dead&quot; comic come out?","2003","2001|2006|1999"
"Sports","multiple","hard","What tool lends it&#039;s name to a last-stone advantage in an end in Curling?","Hammer","Wrench|Drill|Screwdriver"
"Entertainment: Music","multiple","medium","Where did the British Boy Band &quot;Bros&quot; come from?","Camberley","Guildford|Aldershot|Bagshot"
"Entertainment: Television","multiple","easy","The HBO series &quot;Game of Thrones&quot; is based on which series of books?","A Song of Ice and Fire","The Wheel of Time|Harry Potter|The Notebook"
"Entertainment: Video Games","boolean","hard","TF2: Sentry rocket damage falloff is calculated based on the distance between the sentry and the enemy, not the engineer and the enemy","False","True"
"General Knowledge","multiple","medium","The Fields Medal, one of the most sought after awards in mathematics, is awarded every how many years?","4","3|5|6"
"Entertainment: Video Games","multiple","easy","In &quot;Undertale&quot;, how many main endings are there?","3","2|5|13"
"Science &amp; Nature","multiple","hard","How many objects are equivalent to one mole?","6.022 x 10^23","6.002 x 10^22|6.022 x 10^22|6.002 x 10^23"
"Entertainment: Music","multiple","easy","The Red Hot Chili Pepper song &quot;Give It Away&quot; is from what album?","Blood Sugar Sex Magik","One Hot Minute|By the Way|Stadium Arcadium"
"Science &amp; Nature","multiple","medium","The Sun consists of mostly which two elements?","Hydrogen &amp; Helium","Hydrogen &amp; Nitrogen|Carbon &amp; Nitrogen|Carbon &amp; Helium"
"Science &amp; Nature","multiple","medium","Who developed the first successful polio vaccine in the 1950s?","Jonas Salk","John F. Enders|Thomas Weller|Frederick Robbins"
"Geography","multiple","hard","The Hunua Ranges is located in...","New Zealand","Nepal|China|Mexico"
"Entertainment: Music","multiple","easy","What is the name of Finnish DJ Darude&#039;s hit single released in October 1999?","Sandstorm","Dust Devil|Sirocco|Khamsin"
"General Knowledge","multiple","easy","Which of the following card games revolves around numbers and basic math?","Uno","Go Fish|Twister|Munchkin"
"Science: Computers","multiple","medium","When did the online streaming service &quot;Mixer&quot; launch?","2016","2013|2009|2011"
"Entertainment: Music","multiple","medium","&quot;Drink the Sea&quot; is an album by which electronic music artist?","The Glitch Mob","Avicii|XXYYXX|Flux Pavilion"
"Entertainment: Video Games","multiple","easy","What is the main ship used by Commander Shepard in the Mass Effect Franchise called?","Normandy","Osiris|Infinity|Endeavour"
"Science &amp; Nature","multiple","medium","Which of these two plates are best know for forming earthquakes and tsunami&#039;s? ","Convergent Plate Boundaries/Oceanic Crust","Divergent Plate Boundaries/Convergent/Oceanic Crust|Transform Plate Boundaries/Divergent Plate Boundaries|Oceanic &amp; Continental Crust/Transform Plate Boundaries"
"Entertainment: Video Games","multiple","medium","In &quot;Call Of Duty: Zombies&quot;, which map introduced the perk &quot;PhD Flopper&quot;?","Ascension","Moon|Call Of The Dead|Die Rise"
"Entertainment: Video Games","boolean","hard","The first &quot;Metal Gear&quot; game was released for the PlayStation 1.","False","True"
"Entertainment: Music","multiple","hard","What is the first track on the Dave Matthews Band album &quot;Before These Crowded Streets&quot;?","Pantala Naga Pampa","Stay (Wasting Time)|Rapunzel|Don&#039;t Drink The Water"
